v00001	K07679
v00001	K01494
v00001	K01494
v00001	K01358
v00001	K01447
v00003	K03924
v00004	K03503
v00005	K01759
v00005	K05825
v00005	K17828
v00005	K02823
v00005	K01591
v00005	K03426
v00005	K03737
v00005	K13292
v00005	K00986
v00005	K00558
v00005	K00558
v00006	K02495
v00006	K00986
v00007	K04567
v00007	K00754
v00007	K07010
v00007	K02428
v00007	K00789
v00007	K07284
v00007	K03476
v00007	K24041
v00007	K06131
v00007	K18350
v00008	K04773
v00008	K01447
v00009	K01356
v00009	K21471
v00009	K08600
v00010	K00703
v00010	K13038
v00010	K01448
v00010	K04773
v00011	K00849
v00011	K00705
v00011	K07636
v00011	K00558
v00013	K02334
v00013	K00355
v00013	K01448
v00013	K07642
v00014	K00986
v00014	K01358
v00015	K00558
v00015	K08600
v00015	K02654
v00016	K01449
v00019	K01810
v00019	K06133
v00019	K15654
v00019	K12132
v00019	K03784
v00019	K07816
v00020	K01356
v00020	K01872
v00020	K17103
v00020	K00796
v00020	K03526
v00020	K00059
v00020	K09458
v00020	K00652
v00020	K01876
v00020	K01892
v00027	K03798
v00027	K21636
v00028	K23257
v00028	K14654
v00028	K01607
v00028	K01607
v00028	K03924
v00030	K20074
v00030	K12132
v00031	K00986
v00032	K04487
v00032	K00390
v00032	K11717
v00032	K08600
v00032	K00558
v00032	K00558
v00032	K07258
v00032	K06881
v00032	K08281
v00033	K01448
v00033	K00986
v00034	K01243
v00034	K00868
v00034	K01737
v00034	K10026
v00034	K00558
v00034	K04773
v00035	K03100
v00035	K03639
v00035	K08600
v00035	K09883
v00035	K01424
v00035	K00759
v00035	K10254
v00035	K01356
v00036	K21471
v00036	K00558
v00036	K02654
v00038	K00133
v00038	K00928
v00038	K00928
v00039	K03924
v00041	K01054
v00041	K21471
v00042	K01183
v00042	K03778
v00042	K06911
v00042	K01759
v00042	K01358
v00043	K04773
v00045	K01520
v00045	K20074
v00045	K12132
v00045	K03100
v00045	K17950
v00045	K07284
v00045	K08600
v00045	K15051
v00046	K07154
v00046	K07154
v00046	K01303
v00046	K01447
v00046	K01447
v00046	K01303
v00046	K07154
v00046	K07154
v00048	K19421
v00048	K01129
v00048	K07706
v00048	K08282
v00048	K00016
v00048	K02761
v00048	K01803
v00048	K00927
v00048	K02439
v00048	K01689
v00048	K12952
v00048	K02761
v00048	K02564
v00048	K01652
v00048	K01687
v00048	K00052
v00048	K01704
v00048	K01703
v00048	K00053
v00048	K01653
v00048	K01649
v00048	K01921
v00048	K01929
v00048	K00384
v00048	K06019
v00049	K19285
v00049	K00656
v00049	K04069
v00049	K00656
v00050	K15634
v00050	K00147
v00050	K00931
v00050	K01069
v00050	K01174
v00052	K01951
v00053	K04773
v00053	K08640
v00054	K02484
v00054	K01737
v00054	K00639
v00054	K00927
v00054	K07386
v00054	K00986
v00055	K01885
v00055	K01054
v00055	K00558
v00056	K08600
v00056	K21471
v00056	K01356
v00056	K00986
v00059	K01338
v00059	K04773
v00059	K01448
v00062	K07718
v00062	K15921
v00062	K02654
v00062	K00390
v00062	K00558
v00063	K01447
v00063	K00560
v00064	K00560
v00064	K00986
v00064	K01447
v00064	K01358
v00064	K22292
v00067	K03924
v00068	K00133
v00068	K23144
v00068	K00558
v00070	K12234
v00071	K08372
v00071	K00948
v00071	K01424
v00071	K00528
v00071	K03799
v00071	K21471
v00072	K01134
v00072	K04773
v00073	K07284
v00073	K21472
v00073	K06399
v00073	K21064
v00075	K19304
v00075	K03465
v00075	K01520
v00079	K17624
v00079	K08681
v00080	K08309
v00080	K01475
v00080	K00661
v00080	K22522
v00080	K01356
v00080	K00385
v00080	K16951
v00080	K16950
v00080	K00956
v00080	K00957
v00080	K00395
v00080	K00394
v00080	K02045
v00080	K02047
v00080	K02046
v00080	K23163
v00081	K04773
v00085	K04773
v00087	K01620
